id,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
100001,0.472356,-0.269108,-0.891858,0.089932,0.558613,0.001531,-0.150674,0.504076,-1.915806,-0.312920,-0.041548,0.356524,-0.732964,-0.983467,0.357791,-1.133712,-0.420573,0.565128,-0.152697,0.329491,0.562989,0.556078,0.407524,0.281783,1.466986
100002,0.362962,-0.039709,-0.106626,0.892173,0.868983,-0.641361,-0.018261,1.021727,-1.786825,-0.214719,0.465151,1.455397,-1.503500,-0.720185,0.038180,0.252801,2.302656,1.179196,-0.138691,-1.182956,0.993659,-0.014318,-1.281820,-1.708717,0.401631
100003,0.050969,0.559358,-0.423098,0.582159,-0.123403,-0.106054,-0.324603,-0.478825,1.091527,0.097049,1.742882,-1.339219,0.624716,0.858387,-1.341403,-0.720444,-0.085783,0.782129,-1.436219,1.341297,1.514846,-1.320059,-0.644426,0.409365,-1.883368
100004,-0.706729,0.404997,0.372307,0.927939,-1.087829,-0.073863,0.556728,-0.841918,-0.238169,-0.502079,-0.836015,0.853219,-0.217325,-0.749773,0.817835,0.209722,-1.208996,1.141427,0.364699,-0.487629,0.214348,-0.525445,-0.300590,0.158707,0.516566
100005,-1.771783,-2.277816,1.303204,1.720588,-1.821791,-1.320692,2.322204,-0.994180,1.093479,-1.073271,0.848779,0.283666,-1.478211,0.074533,-1.432642,-0.840383,-1.441860,0.706437,-0.822286,-1.550293,1.356637,0.793461,-0.521058,0.275583,-0.206401
100006,-1.124354,1.391938,0.126950,-0.914144,-0.117261,-0.961458,0.492919,-0.100421,0.141886,0.889203,-1.498985,0.545507,-0.850618,-0.466925,-0.656018,0.105606,0.539223,-1.420479,0.356980,-0.472798,0.086029,0.442845,0.964623,1.083237,-2.031453
100007,0.501712,-0.801167,-0.105874,-1.642070,1.158126,0.229946,0.073543,0.852041,-0.799343,0.735653,-0.942751,1.280753,1.568704,-2.501485,0.812054,-0.712548,-1.544588,0.031931,-0.914449,1.403524,-0.022405,-0.060484,0.500453,3.193900,0.832378
100008,-0.638012,-0.062256,-1.667704,1.887105,-0.649496,-0.423859,-3.338632,-0.850563,0.198763,-1.172615,-0.216201,-0.457061,0.738730,-0.271682,0.020385,1.148880,-0.368629,-0.188481,-1.440454,0.245655,-0.730184,-0.380186,-0.814744,-0.140215,0.537320
100009,-0.198600,-0.532702,-1.218290,0.910360,1.613312,-0.057044,-1.205185,0.993114,-1.000340,-0.356662,-0.678011,-0.707780,2.916339,0.372318,-0.700339,0.495976,-1.006265,-0.022536,-2.532149,0.228906,-1.592152,1.034880,-1.018626,1.764986,1.710762
100010,1.048100,-0.001858,-0.819228,-1.487681,0.135258,0.212967,0.942193,-0.074294,-1.869228,-1.625058,-0.206547,0.348842,0.594172,-0.702561,-0.485386,-0.477227,0.348894,1.284863,-1.281914,-2.263432,0.112026,-0.862317,0.197135,-2.169346,-0.922158
100011,-1.341268,-0.900713,0.310234,-0.363812,0.238964,-0.951907,-0.381580,-0.050462,0.777249,-0.008192,-0.932506,-0.903600,0.873055,1.125106,-0.641396,0.628736,0.049996,-0.145085,0.228916,-0.513798,0.097102,-0.643179,-0.783723,-0.288457,1.198549
100012,-2.286777,-0.133486,-1.648336,-0.322275,-0.259652,-1.916277,1.113051,-0.412871,0.062293,-1.143176,-0.974731,-0.185924,0.455445,-0.742225,-0.066896,-1.400947,0.387919,0.490127,0.866284,-1.547541,-0.291978,-0.215778,-0.351037,0.511282,-0.356753
100013,0.238259,-1.702554,-2.447605,0.396405,0.497164,0.646595,-0.932216,0.134458,0.205443,-0.698407,-1.170374,-1.591777,0.778790,-0.703902,-0.102367,-0.508244,-0.893717,0.237721,-0.836322,0.721754,-0.193209,0.710077,1.028546,-0.102854,-1.591484
100014,-1.222806,-0.797239,0.618973,-1.599402,1.266604,-0.228015,-0.622968,1.037957,-0.065900,0.651380,0.818833,0.887292,1.437394,-0.377194,-0.851086,0.640344,0.757444,-0.812446,-0.626758,0.373854,-1.547730,0.278407,1.120622,0.649988,-0.507547
100015,-1.093501,0.407083,0.199145,0.069867,-0.528587,-1.502243,-0.029529,-0.572306,0.438833,0.319700,-0.320096,0.617174,-0.845135,-1.077321,-0.329501,0.736455,1.065327,0.534996,-1.699153,-0.848920,1.263830,3.302269,-0.330209,1.609630,-0.904336
100016,0.045885,1.278942,-0.695258,-1.237876,-0.470985,0.531112,1.067642,-0.500658,0.936364,1.057524,0.178436,2.347729,-0.613663,1.703377,-0.215635,0.948096,-2.880915,0.368750,0.231748,1.554644,1.328460,-1.279225,-1.152114,-0.017200,0.497758
100017,1.813315,0.838338,-2.102552,0.641078,-0.257295,1.375495,-1.657283,-0.172554,-2.498132,-0.117369,-0.803841,0.600044,0.616493,-1.120295,-0.521968,-1.242980,-0.193328,-1.534653,1.813612,2.438099,1.281084,1.083093,-0.796160,-0.268376,-0.472528
100018,-1.086996,0.152343,0.260918,-0.419877,0.569329,-0.517847,-0.645536,0.854309,1.588628,-0.132455,-0.327594,-0.148834,0.131944,-0.385586,0.653746,-1.311337,0.185649,0.001561,0.174250,0.252278,-0.982764,1.820695,-1.634444,-0.345313,1.182922
100019,0.109543,-0.961753,0.109750,-0.247356,-1.195130,0.297161,-0.398470,-1.032009,-1.628898,-0.878337,-1.786917,0.695581,-1.892789,-0.030399,0.108354,0.520794,1.004350,-0.630420,-1.389451,-1.184615,-0.731653,0.835518,-0.372642,0.108227,0.316683
100020,1.843106,-1.510815,0.588001,-1.034194,0.700983,1.016838,-0.770207,0.818511,-0.502246,1.550412,-1.092345,-1.620165,0.394943,-1.435101,0.816433,0.720022,-0.303938,0.139536,-0.542400,0.038482,0.548749,0.464826,1.284414,-0.574702,0.840161
100021,2.658446,-1.119820,-1.723917,0.946827,-0.641163,2.413724,-1.371179,-0.335006,0.351989,-0.009487,-1.547093,0.701769,-0.564253,-0.056037,1.181878,-1.712086,1.243693,1.031726,0.685268,0.469434,-0.604103,-1.303633,-0.157514,0.771743,0.586507
100022,0.910905,2.088595,-0.292822,-1.117768,0.555611,0.256332,-0.136857,0.552009,-0.035864,-0.002916,-0.293330,0.002653,-2.082199,0.761569,-0.309593,1.094470,2.116926,2.507918,-0.712435,-1.822455,-0.643663,0.088427,0.335042,0.094991,1.425171
100023,0.774620,-0.210521,0.782822,0.501985,-0.697870,0.809898,0.414662,-0.318306,-0.239508,-1.303839,-0.840504,-1.263104,-0.227854,1.584392,-0.123720,-0.528923,-0.179694,1.926000,-0.006288,-0.445987,0.105526,-1.500311,0.253012,-0.364440,0.335051
100024,-1.748833,-0.463174,-1.928624,0.102058,0.194912,-1.140483,-0.307873,0.211711,0.195157,0.823811,-0.188061,-1.386062,-0.288385,0.064765,0.731433,-0.613678,-0.507314,-0.532225,-1.062749,0.020108,-0.253389,0.009602,-0.045258,-0.534389,-0.659770
100025,0.637211,0.574123,1.823853,-0.308650,0.402263,-0.023200,-0.542458,0.025755,-0.824225,-0.084375,-0.439907,-0.587053,-0.791208,-1.063468,-0.238165,-2.080313,-2.308590,-1.106622,0.871024,-1.978947,-0.218457,-0.975373,0.782568,0.311600,0.866488
100026,-1.828449,-0.042768,0.313543,0.844681,-0.192907,-1.311899,0.625242,-0.426551,-0.676789,-1.807344,0.766576,-0.808847,1.932652,0.225125,0.125422,0.200897,-0.067488,0.093223,-0.420043,0.211367,-1.940209,0.233522,0.513556,-1.056379,-0.845975
100027,-1.051673,-1.688822,-0.231555,0.120903,-0.275052,-0.682277,0.145367,-0.409038,0.234940,1.616966,1.693251,-0.007252,0.379013,-0.720547,-0.856443,-0.516595,-0.146775,-1.353517,0.465972,1.085415,-0.418587,0.198039,1.138559,0.025236,0.089187
